escrow_txn_id,reference_type,reference_id,buyer_id,seller_or_vendor_id,amount_inr,hold_date,release_date,status,milestone_trigger
ESC-31366,Order Purchase,ORD-11366,CUST-1366,STR-502,4497,2025-11-07,2025-11-07,Released,Delivery Audit Confirmed
ESC-31367,Order Purchase,ORD-11367,CUST-1367,STR-503,4998,2025-11-07,2025-11-07,Released,Delivery Audit Confirmed
ESC-31368,Order Purchase,ORD-11368,CUST-1368,STR-504,10497,2025-06-06,2025-06-06,Released,Delivery Audit Confirmed
ESC-31369,Order Purchase,ORD-11369,CUST-1369,STR-505,499,2026-01-25,2026-01-25,Released,Delivery Audit Confirmed
ESC-31370,Order Purchase,ORD-11370,CUST-1370,STR-501,2998,2025-05-07,2025-05-07,Released,Delivery Audit Confirmed
ESC-31371,Order Purchase,ORD-11371,CUST-1371,STR-502,6998,2025-12-31,PENDING,Refunded,Delivery Audit Confirmed
ESC-31372,Order Purchase,ORD-11372,CUST-1372,STR-503,499,2026-05-24,2026-05-24,Released,Delivery Audit Confirmed
ESC-31373,Order Purchase,ORD-11373,CUST-1373,STR-504,1996,2025-05-13,2025-05-13,Released,Delivery Audit Confirmed
ESC-31374,Order Purchase,ORD-11374,CUST-1374,STR-505,3499,2025-06-11,2025-06-11,Released,Delivery Audit Confirmed
ESC-31375,Order Purchase,ORD-11375,CUST-1375,STR-501,13996,2025-10-01,2025-10-01,Released,Delivery Audit Confirmed
ESC-31376,Order Purchase,ORD-11376,CUST-1376,STR-502,999,2025-05-29,PENDING,Refunded,Delivery Audit Confirmed
ESC-31377,Order Purchase,ORD-11377,CUST-1377,STR-503,1996,2025-01-24,2025-01-24,Released,Delivery Audit Confirmed
ESC-31378,Order Purchase,ORD-11378,CUST-1378,STR-504,3996,2025-07-06,2025-07-06,Released,Delivery Audit Confirmed
ESC-31379,Order Purchase,ORD-11379,CUST-1379,STR-505,999,2025-12-16,2025-12-16,Released,Delivery Audit Confirmed
ESC-31380,Order Purchase,ORD-11380,CUST-1380,STR-501,10497,2025-02-06,2025-02-06,Released,Delivery Audit Confirmed
ESC-31381,Order Purchase,ORD-11381,CUST-1381,STR-502,13996,2026-05-19,2026-05-19,Released,Delivery Audit Confirmed
ESC-31382,Order Purchase,ORD-11382,CUST-1382,STR-503,13996,2025-07-30,PENDING,Held,Delivery Audit Confirmed
ESC-31383,Order Purchase,ORD-11383,CUST-1383,STR-504,999,2025-07-18,2025-07-18,Released,Delivery Audit Confirmed
ESC-31384,Order Purchase,ORD-11384,CUST-1384,STR-505,699,2025-01-16,2025-01-16,Released,Delivery Audit Confirmed
ESC-31385,Order Purchase,ORD-11385,CUST-1385,STR-501,10497,2025-09-20,PENDING,Refunded,Delivery Audit Confirmed
ESC-31386,Order Purchase,ORD-11386,CUST-1386,STR-502,999,2025-05-05,2025-05-05,Released,Delivery Audit Confirmed
ESC-31387,Order Purchase,ORD-11387,CUST-1387,STR-503,2796,2026-01-03,2026-01-03,Released,Delivery Audit Confirmed
ESC-31388,Order Purchase,ORD-11388,CUST-1388,STR-504,7497,2026-05-21,2026-05-21,Released,Delivery Audit Confirmed
ESC-31389,Order Purchase,ORD-11389,CUST-1389,STR-505,1998,2026-01-25,PENDING,Held,Delivery Audit Confirmed
ESC-31390,Order Purchase,ORD-11390,CUST-1390,STR-501,1398,2025-01-02,2025-01-02,Released,Delivery Audit Confirmed
ESC-31391,Order Purchase,ORD-11391,CUST-1391,STR-502,10497,2026-06-11,PENDING,Refunded,Delivery Audit Confirmed
ESC-31392,Order Purchase,ORD-11392,CUST-1392,STR-503,2998,2026-02-13,2026-02-13,Released,Delivery Audit Confirmed
ESC-31393,Order Purchase,ORD-11393,CUST-1393,STR-504,10497,2025-05-31,PENDING,Refunded,Delivery Audit Confirmed
ESC-31394,Order Purchase,ORD-11394,CUST-1394,STR-505,7497,2025-06-12,2025-06-12,Released,Delivery Audit Confirmed
ESC-31395,Order Purchase,ORD-11395,CUST-1395,STR-501,5996,2026-06-24,PENDING,Held,Delivery Audit Confirmed
ESC-31396,Order Purchase,ORD-11396,CUST-1396,STR-502,7497,2025-09-21,2025-09-21,Released,Delivery Audit Confirmed
ESC-31397,Order Purchase,ORD-11397,CUST-1397,STR-503,5996,2026-03-23,2026-03-23,Released,Delivery Audit Confirmed
ESC-31398,Order Purchase,ORD-11398,CUST-1398,STR-504,998,2025-07-31,2025-07-31,Released,Delivery Audit Confirmed
ESC-31399,Order Purchase,ORD-11399,CUST-1399,STR-505,1398,2025-12-02,2025-12-02,Released,Delivery Audit Confirmed
ESC-31400,Order Purchase,ORD-11400,CUST-1400,STR-501,2998,2025-08-09,2025-08-09,Released,Delivery Audit Confirmed
ESC-31401,Order Purchase,ORD-11401,CUST-1401,STR-502,999,2025-02-20,2025-02-20,Released,Delivery Audit Confirmed
ESC-31402,Order Purchase,ORD-11402,CUST-1402,STR-503,2998,2025-01-06,2025-01-06,Released,Delivery Audit Confirmed
ESC-31403,Order Purchase,ORD-11403,CUST-1403,STR-504,2997,2026-05-13,PENDING,Held,Delivery Audit Confirmed
ESC-31404,Order Purchase,ORD-11404,CUST-1404,STR-505,5996,2025-06-07,2025-06-07,Released,Delivery Audit Confirmed
ESC-31405,Order Purchase,ORD-11405,CUST-1405,STR-501,2998,2025-05-20,2025-05-20,Released,Delivery Audit Confirmed
ESC-31406,Order Purchase,ORD-11406,CUST-1406,STR-502,4998,2025-12-24,2025-12-24,Released,Delivery Audit Confirmed
ESC-31407,Order Purchase,ORD-11407,CUST-1407,STR-503,998,2025-11-25,2025-11-25,Released,Delivery Audit Confirmed
ESC-31408,Order Purchase,ORD-11408,CUST-1408,STR-504,2796,2025-05-23,2025-05-23,Released,Delivery Audit Confirmed
ESC-31409,Order Purchase,ORD-11409,CUST-1409,STR-505,2997,2026-05-05,2026-05-05,Released,Delivery Audit Confirmed
ESC-31410,Order Purchase,ORD-11410,CUST-1410,STR-501,2499,2025-12-18,2025-12-18,Released,Delivery Audit Confirmed
ESC-31411,Order Purchase,ORD-11411,CUST-1411,STR-502,2997,2025-03-12,2025-03-12,Released,Delivery Audit Confirmed
ESC-31412,Order Purchase,ORD-11412,CUST-1412,STR-503,2097,2025-11-11,PENDING,Refunded,Delivery Audit Confirmed
ESC-31413,Order Purchase,ORD-11413,CUST-1413,STR-504,3996,2025-12-11,2025-12-11,Released,Delivery Audit Confirmed
ESC-31414,Order Purchase,ORD-11414,CUST-1414,STR-505,2997,2025-02-07,2025-02-07,Released,Delivery Audit Confirmed
ESC-31415,Order Purchase,ORD-11415,CUST-1415,STR-501,13996,2025-08-16,2025-08-16,Released,Delivery Audit Confirmed
ESC-31416,Order Purchase,ORD-11416,CUST-1416,STR-502,7497,2025-06-28,PENDING,Held,Delivery Audit Confirmed
ESC-31417,Order Purchase,ORD-11417,CUST-1417,STR-503,1998,2025-02-25,2025-02-25,Released,Delivery Audit Confirmed
ESC-31418,Order Purchase,ORD-11418,CUST-1418,STR-504,499,2025-05-08,2025-05-08,Released,Delivery Audit Confirmed
ESC-31419,Order Purchase,ORD-11419,CUST-1419,STR-505,10497,2025-09-27,2025-09-27,Released,Delivery Audit Confirmed
ESC-31420,Order Purchase,ORD-11420,CUST-1420,STR-501,4497,2025-05-17,PENDING,Refunded,Delivery Audit Confirmed
ESC-31421,Order Purchase,ORD-11421,CUST-1421,STR-502,699,2025-12-11,2025-12-11,Released,Delivery Audit Confirmed
ESC-31422,Order Purchase,ORD-11422,CUST-1422,STR-503,10497,2025-04-08,2025-04-08,Released,Delivery Audit Confirmed
ESC-31423,Order Purchase,ORD-11423,CUST-1423,STR-504,2997,2025-09-01,2025-09-01,Released,Delivery Audit Confirmed
ESC-31424,Order Purchase,ORD-11424,CUST-1424,STR-505,4497,2025-01-19,PENDING,Held,Delivery Audit Confirmed
ESC-31425,Order Purchase,ORD-11425,CUST-1425,STR-501,10497,2026-02-17,2026-02-17,Released,Delivery Audit Confirmed
ESC-31426,Order Purchase,ORD-11426,CUST-1426,STR-502,1497,2025-11-06,2025-11-06,Released,Delivery Audit Confirmed
ESC-31427,Order Purchase,ORD-11427,CUST-1427,STR-503,13996,2025-09-18,2025-09-18,Released,Delivery Audit Confirmed
ESC-31428,Order Purchase,ORD-11428,CUST-1428,STR-504,2998,2025-12-15,2025-12-15,Released,Delivery Audit Confirmed
ESC-31429,Order Purchase,ORD-11429,CUST-1429,STR-505,4998,2025-05-06,2025-05-06,Released,Delivery Audit Confirmed
ESC-31430,Order Purchase,ORD-11430,CUST-1430,STR-501,1499,2025-02-01,2025-02-01,Released,Delivery Audit Confirmed
ESC-31431,Order Purchase,ORD-11431,CUST-1431,STR-502,13996,2025-02-04,PENDING,Refunded,Delivery Audit Confirmed
ESC-31432,Order Purchase,ORD-11432,CUST-1432,STR-503,3499,2026-02-12,2026-02-12,Released,Delivery Audit Confirmed
ESC-31433,Order Purchase,ORD-11433,CUST-1433,STR-504,2097,2026-02-16,PENDING,Refunded,Delivery Audit Confirmed
ESC-31434,Order Purchase,ORD-11434,CUST-1434,STR-505,1499,2026-02-22,2026-02-22,Released,Delivery Audit Confirmed
ESC-31435,Order Purchase,ORD-11435,CUST-1435,STR-501,1497,2025-03-29,2025-03-29,Released,Delivery Audit Confirmed
ESC-31436,Order Purchase,ORD-11436,CUST-1436,STR-502,998,2025-01-08,PENDING,Refunded,Delivery Audit Confirmed
ESC-31437,Order Purchase,ORD-11437,CUST-1437,STR-503,5996,2025-11-14,2025-11-14,Released,Delivery Audit Confirmed
ESC-31438,Order Purchase,ORD-11438,CUST-1438,STR-504,699,2025-03-06,PENDING,Refunded,Delivery Audit Confirmed
ESC-31439,Order Purchase,ORD-11439,CUST-1439,STR-505,1996,2026-01-09,PENDING,Refunded,Delivery Audit Confirmed
ESC-31440,Order Purchase,ORD-11440,CUST-1440,STR-501,10497,2025-08-31,PENDING,Held,Delivery Audit Confirmed
ESC-31441,Order Purchase,ORD-11441,CUST-1441,STR-502,1398,2025-04-17,2025-04-17,Released,Delivery Audit Confirmed
ESC-31442,Order Purchase,ORD-11442,CUST-1442,STR-503,2499,2025-06-12,PENDING,Held,Delivery Audit Confirmed
ESC-31443,Order Purchase,ORD-11443,CUST-1443,STR-504,3996,2026-04-08,2026-04-08,Released,Delivery Audit Confirmed
ESC-31444,Order Purchase,ORD-11444,CUST-1444,STR-505,3499,2025-10-21,2025-10-21,Released,Delivery Audit Confirmed
ESC-31445,Order Purchase,ORD-11445,CUST-1445,STR-501,2097,2025-07-12,2025-07-12,Released,Delivery Audit Confirmed
ESC-31446,Order Purchase,ORD-11446,CUST-1446,STR-502,1497,2025-08-10,PENDING,Held,Delivery Audit Confirmed
ESC-31447,Order Purchase,ORD-11447,CUST-1447,STR-503,999,2025-05-18,2025-05-18,Released,Delivery Audit Confirmed
ESC-31448,Order Purchase,ORD-11448,CUST-1448,STR-504,2997,2025-09-07,PENDING,Refunded,Delivery Audit Confirmed
ESC-31449,Order Purchase,ORD-11449,CUST-1449,STR-505,2796,2025-04-10,PENDING,Refunded,Delivery Audit Confirmed
ESC-31450,Order Purchase,ORD-11450,CUST-1450,STR-501,4497,2026-06-05,2026-06-05,Released,Delivery Audit Confirmed
ESC-31451,Order Purchase,ORD-11451,CUST-1451,STR-502,2998,2026-05-10,2026-05-10,Released,Delivery Audit Confirmed
ESC-31452,Order Purchase,ORD-11452,CUST-1452,STR-503,3499,2026-05-10,PENDING,Refunded,Delivery Audit Confirmed
ESC-31453,Order Purchase,ORD-11453,CUST-1453,STR-504,9996,2025-10-16,2025-10-16,Released,Delivery Audit Confirmed
ESC-31454,Order Purchase,ORD-11454,CUST-1454,STR-505,2998,2025-08-16,2025-08-16,Released,Delivery Audit Confirmed
ESC-31455,Order Purchase,ORD-11455,CUST-1455,STR-501,2499,2026-03-16,2026-03-16,Released,Delivery Audit Confirmed
ESC-31456,Order Purchase,ORD-11456,CUST-1456,STR-502,2499,2025-01-21,2025-01-21,Released,Delivery Audit Confirmed
ESC-31457,Order Purchase,ORD-11457,CUST-1457,STR-503,13996,2025-04-28,2025-04-28,Released,Delivery Audit Confirmed
ESC-31458,Order Purchase,ORD-11458,CUST-1458,STR-504,4998,2025-04-13,2025-04-13,Released,Delivery Audit Confirmed
ESC-31459,Order Purchase,ORD-11459,CUST-1459,STR-505,998,2025-01-12,2025-01-12,Released,Delivery Audit Confirmed
ESC-31460,Order Purchase,ORD-11460,CUST-1460,STR-501,1996,2025-05-22,2025-05-22,Released,Delivery Audit Confirmed
ESC-31461,Order Purchase,ORD-11461,CUST-1461,STR-502,7497,2026-06-07,PENDING,Held,Delivery Audit Confirmed
ESC-31462,Order Purchase,ORD-11462,CUST-1462,STR-503,6998,2025-08-25,2025-08-25,Released,Delivery Audit Confirmed
ESC-31463,Order Purchase,ORD-11463,CUST-1463,STR-504,3996,2025-09-03,2025-09-03,Released,Delivery Audit Confirmed
ESC-31464,Order Purchase,ORD-11464,CUST-1464,STR-505,999,2025-05-06,2025-05-06,Released,Delivery Audit Confirmed
ESC-31465,Order Purchase,ORD-11465,CUST-1465,STR-501,7497,2025-03-30,2025-03-30,Released,Delivery Audit Confirmed
ESC-31466,Order Purchase,ORD-11466,CUST-1466,STR-502,1499,2025-12-14,PENDING,Held,Delivery Audit Confirmed
ESC-31467,Order Purchase,ORD-11467,CUST-1467,STR-503,1996,2025-12-20,2025-12-20,Released,Delivery Audit Confirmed
ESC-31468,Order Purchase,ORD-11468,CUST-1468,STR-504,3996,2025-01-05,2025-01-05,Released,Delivery Audit Confirmed
ESC-31469,Order Purchase,ORD-11469,CUST-1469,STR-505,1497,2025-09-02,2025-09-02,Released,Delivery Audit Confirmed
ESC-31470,Order Purchase,ORD-11470,CUST-1470,STR-501,499,2026-04-21,2026-04-21,Released,Delivery Audit Confirmed
ESC-31471,Order Purchase,ORD-11471,CUST-1471,STR-502,3499,2026-04-11,2026-04-11,Released,Delivery Audit Confirmed
ESC-31472,Order Purchase,ORD-11472,CUST-1472,STR-503,3996,2025-09-28,PENDING,Refunded,Delivery Audit Confirmed
ESC-31473,Order Purchase,ORD-11473,CUST-1473,STR-504,2499,2025-11-06,2025-11-06,Released,Delivery Audit Confirmed
ESC-31474,Order Purchase,ORD-11474,CUST-1474,STR-505,999,2025-04-05,2025-04-05,Released,Delivery Audit Confirmed
ESC-31475,Order Purchase,ORD-11475,CUST-1475,STR-501,5996,2026-01-04,2026-01-04,Released,Delivery Audit Confirmed
ESC-31476,Order Purchase,ORD-11476,CUST-1476,STR-502,3996,2026-04-30,2026-04-30,Released,Delivery Audit Confirmed
ESC-31477,Order Purchase,ORD-11477,CUST-1477,STR-503,1398,2026-06-09,2026-06-09,Released,Delivery Audit Confirmed
ESC-31478,Order Purchase,ORD-11478,CUST-1478,STR-504,2499,2025-01-26,2025-01-26,Released,Delivery Audit Confirmed
ESC-31479,Order Purchase,ORD-11479,CUST-1479,STR-505,1996,2026-01-25,2026-01-25,Released,Delivery Audit Confirmed
ESC-31480,Order Purchase,ORD-11480,CUST-1480,STR-501,2998,2025-03-11,2025-03-11,Released,Delivery Audit Confirmed
ESC-31481,Order Purchase,ORD-11481,CUST-1481,STR-502,5996,2026-05-03,2026-05-03,Released,Delivery Audit Confirmed
ESC-31482,Order Purchase,ORD-11482,CUST-1482,STR-503,2998,2026-02-21,2026-02-21,Released,Delivery Audit Confirmed
ESC-31483,Order Purchase,ORD-11483,CUST-1483,STR-504,3499,2025-07-08,PENDING,Refunded,Delivery Audit Confirmed
ESC-31484,Order Purchase,ORD-11484,CUST-1484,STR-505,2796,2025-05-14,2025-05-14,Released,Delivery Audit Confirmed
ESC-31485,Order Purchase,ORD-11485,CUST-1485,STR-501,6998,2025-07-26,PENDING,Refunded,Delivery Audit Confirmed
ESC-31486,Order Purchase,ORD-11486,CUST-1486,STR-502,4998,2025-09-05,2025-09-05,Released,Delivery Audit Confirmed
ESC-31487,Order Purchase,ORD-11487,CUST-1487,STR-503,9996,2026-02-15,2026-02-15,Released,Delivery Audit Confirmed
ESC-31488,Order Purchase,ORD-11488,CUST-1488,STR-504,1998,2025-12-19,2025-12-19,Released,Delivery Audit Confirmed
ESC-31489,Order Purchase,ORD-11489,CUST-1489,STR-505,2097,2025-11-09,2025-11-09,Released,Delivery Audit Confirmed
ESC-31490,Order Purchase,ORD-11490,CUST-1490,STR-501,2997,2025-09-17,2025-09-17,Released,Delivery Audit Confirmed
ESC-31491,Order Purchase,ORD-11491,CUST-1491,STR-502,999,2025-04-20,2025-04-20,Released,Delivery Audit Confirmed
ESC-31492,Order Purchase,ORD-11492,CUST-1492,STR-503,5996,2025-01-07,2025-01-07,Released,Delivery Audit Confirmed
ESC-31493,Order Purchase,ORD-11493,CUST-1493,STR-504,9996,2026-03-11,2026-03-11,Released,Delivery Audit Confirmed
ESC-31494,Order Purchase,ORD-11494,CUST-1494,STR-505,998,2025-05-14,PENDING,Refunded,Delivery Audit Confirmed
ESC-31495,Order Purchase,ORD-11495,CUST-1495,STR-501,5996,2025-02-05,2025-02-05,Released,Delivery Audit Confirmed
ESC-31496,Order Purchase,ORD-11496,CUST-1496,STR-502,2796,2026-06-22,2026-06-22,Released,Delivery Audit Confirmed
ESC-31497,Order Purchase,ORD-11497,CUST-1497,STR-503,1499,2026-01-06,2026-01-06,Released,Delivery Audit Confirmed
ESC-31498,Order Purchase,ORD-11498,CUST-1498,STR-504,4998,2025-01-09,2025-01-09,Released,Delivery Audit Confirmed
ESC-31499,Order Purchase,ORD-11499,CUST-1499,STR-505,999,2025-01-07,2025-01-07,Released,Delivery Audit Confirmed
ESC-31500,Order Purchase,ORD-11500,CUST-1500,STR-501,998,2025-12-13,2025-12-13,Released,Delivery Audit Confirmed
ESC-31501,Order Purchase,ORD-11501,CUST-1501,STR-502,2997,2026-05-16,2026-05-16,Released,Delivery Audit Confirmed
ESC-31502,Order Purchase,ORD-11502,CUST-1502,STR-503,999,2025-05-21,2025-05-21,Released,Delivery Audit Confirmed
ESC-31503,Order Purchase,ORD-11503,CUST-1503,STR-504,2998,2025-01-19,2025-01-19,Released,Delivery Audit Confirmed
ESC-31504,Order Purchase,ORD-11504,CUST-1504,STR-505,1499,2025-08-24,2025-08-24,Released,Delivery Audit Confirmed
ESC-31505,Order Purchase,ORD-11505,CUST-1505,STR-501,2796,2025-01-14,2025-01-14,Released,Delivery Audit Confirmed
ESC-31506,Order Purchase,ORD-11506,CUST-1506,STR-502,4497,2025-02-20,2025-02-20,Released,Delivery Audit Confirmed
ESC-31507,Order Purchase,ORD-11507,CUST-1507,STR-503,7497,2025-03-19,2025-03-19,Released,Delivery Audit Confirmed
ESC-31508,Order Purchase,ORD-11508,CUST-1508,STR-504,9996,2025-04-20,2025-04-20,Released,Delivery Audit Confirmed
ESC-31509,Order Purchase,ORD-11509,CUST-1509,STR-505,499,2025-03-17,2025-03-17,Released,Delivery Audit Confirmed
ESC-31510,Order Purchase,ORD-11510,CUST-1510,STR-501,1996,2025-09-01,PENDING,Held,Delivery Audit Confirmed
ESC-31511,Order Purchase,ORD-11511,CUST-1511,STR-502,7497,2025-07-22,2025-07-22,Released,Delivery Audit Confirmed
ESC-31512,Order Purchase,ORD-11512,CUST-1512,STR-503,4998,2025-05-08,2025-05-08,Released,Delivery Audit Confirmed
ESC-31513,Order Purchase,ORD-11513,CUST-1513,STR-504,10497,2026-04-23,PENDING,Refunded,Delivery Audit Confirmed
ESC-31514,Order Purchase,ORD-11514,CUST-1514,STR-505,1998,2026-02-26,2026-02-26,Released,Delivery Audit Confirmed
ESC-31515,Order Purchase,ORD-11515,CUST-1515,STR-501,699,2026-06-14,2026-06-14,Released,Delivery Audit Confirmed
ESC-31516,Order Purchase,ORD-11516,CUST-1516,STR-502,2997,2026-04-18,2026-04-18,Released,Delivery Audit Confirmed
ESC-31517,Order Purchase,ORD-11517,CUST-1517,STR-503,4998,2026-04-19,2026-04-19,Released,Delivery Audit Confirmed
ESC-31518,Order Purchase,ORD-11518,CUST-1518,STR-504,699,2025-11-11,2025-11-11,Released,Delivery Audit Confirmed
ESC-31519,Order Purchase,ORD-11519,CUST-1519,STR-505,3499,2025-02-18,2025-02-18,Released,Delivery Audit Confirmed
ESC-31520,Order Purchase,ORD-11520,CUST-1520,STR-501,1996,2025-10-28,2025-10-28,Released,Delivery Audit Confirmed
ESC-31521,Order Purchase,ORD-11521,CUST-1521,STR-502,2796,2025-03-09,2025-03-09,Released,Delivery Audit Confirmed
ESC-31522,Order Purchase,ORD-11522,CUST-1522,STR-503,1998,2026-01-27,PENDING,Refunded,Delivery Audit Confirmed
ESC-31523,Order Purchase,ORD-11523,CUST-1523,STR-504,3499,2025-08-25,PENDING,Refunded,Delivery Audit Confirmed
ESC-31524,Order Purchase,ORD-11524,CUST-1524,STR-505,2796,2025-09-05,2025-09-05,Released,Delivery Audit Confirmed
ESC-31525,Order Purchase,ORD-11525,CUST-1525,STR-501,499,2026-05-19,2026-05-19,Released,Delivery Audit Confirmed
ESC-31526,Order Purchase,ORD-11526,CUST-1526,STR-502,4497,2025-12-04,2025-12-04,Released,Delivery Audit Confirmed
ESC-31527,Order Purchase,ORD-11527,CUST-1527,STR-503,5996,2026-03-04,2026-03-04,Released,Delivery Audit Confirmed
ESC-31528,Order Purchase,ORD-11528,CUST-1528,STR-504,4497,2025-06-20,2025-06-20,Released,Delivery Audit Confirmed
ESC-31529,Order Purchase,ORD-11529,CUST-1529,STR-505,2499,2025-05-27,2025-05-27,Released,Delivery Audit Confirmed
ESC-31530,Order Purchase,ORD-11530,CUST-1530,STR-501,2097,2025-03-11,2025-03-11,Released,Delivery Audit Confirmed
ESC-31531,Order Purchase,ORD-11531,CUST-1531,STR-502,2097,2025-09-24,2025-09-24,Released,Delivery Audit Confirmed
ESC-31532,Order Purchase,ORD-11532,CUST-1532,STR-503,5996,2025-05-28,PENDING,Refunded,Delivery Audit Confirmed
ESC-31533,Order Purchase,ORD-11533,CUST-1533,STR-504,9996,2025-08-25,2025-08-25,Released,Delivery Audit Confirmed
ESC-31534,Order Purchase,ORD-11534,CUST-1534,STR-505,4998,2025-07-07,2025-07-07,Released,Delivery Audit Confirmed
ESC-31535,Order Purchase,ORD-11535,CUST-1535,STR-501,998,2026-06-08,2026-06-08,Released,Delivery Audit Confirmed
ESC-31536,Order Purchase,ORD-11536,CUST-1536,STR-502,3996,2025-02-21,2025-02-21,Released,Delivery Audit Confirmed
ESC-31537,Order Purchase,ORD-11537,CUST-1537,STR-503,3996,2025-07-03,2025-07-03,Released,Delivery Audit Confirmed
ESC-31538,Order Purchase,ORD-11538,CUST-1538,STR-504,998,2026-01-19,2026-01-19,Released,Delivery Audit Confirmed
ESC-31539,Order Purchase,ORD-11539,CUST-1539,STR-505,1499,2025-12-22,2025-12-22,Released,Delivery Audit Confirmed
ESC-31540,Order Purchase,ORD-11540,CUST-1540,STR-501,999,2025-04-09,2025-04-09,Released,Delivery Audit Confirmed
ESC-31541,Order Purchase,ORD-11541,CUST-1541,STR-502,2097,2025-10-01,PENDING,Refunded,Delivery Audit Confirmed
ESC-31542,Order Purchase,ORD-11542,CUST-1542,STR-503,2997,2025-03-22,2025-03-22,Released,Delivery Audit Confirmed
ESC-31543,Order Purchase,ORD-11543,CUST-1543,STR-504,699,2026-06-14,2026-06-14,Released,Delivery Audit Confirmed
ESC-31544,Order Purchase,ORD-11544,CUST-1544,STR-505,999,2025-09-18,2025-09-18,Released,Delivery Audit Confirmed
ESC-31545,Order Purchase,ORD-11545,CUST-1545,STR-501,1998,2026-03-19,2026-03-19,Released,Delivery Audit Confirmed
ESC-31546,Order Purchase,ORD-11546,CUST-1546,STR-502,2796,2025-01-18,PENDING,Held,Delivery Audit Confirmed
ESC-31547,Order Purchase,ORD-11547,CUST-1547,STR-503,5996,2025-05-15,2025-05-15,Released,Delivery Audit Confirmed
ESC-31548,Order Purchase,ORD-11548,CUST-1548,STR-504,9996,2025-11-18,2025-11-18,Released,Delivery Audit Confirmed
ESC-31549,Order Purchase,ORD-11549,CUST-1549,STR-505,1996,2025-11-10,PENDING,Refunded,Delivery Audit Confirmed
ESC-31550,Order Purchase,ORD-11550,CUST-1550,STR-501,499,2026-06-02,PENDING,Refunded,Delivery Audit Confirmed
ESC-31551,Order Purchase,ORD-11551,CUST-1551,STR-502,9996,2025-08-10,2025-08-10,Released,Delivery Audit Confirmed
ESC-31552,Order Purchase,ORD-11552,CUST-1552,STR-503,2796,2025-10-15,2025-10-15,Released,Delivery Audit Confirmed
ESC-31553,Order Purchase,ORD-11553,CUST-1553,STR-504,4497,2025-12-27,PENDING,Refunded,Delivery Audit Confirmed
ESC-31554,Order Purchase,ORD-11554,CUST-1554,STR-505,2998,2026-02-14,2026-02-14,Released,Delivery Audit Confirmed
ESC-31555,Order Purchase,ORD-11555,CUST-1555,STR-501,998,2025-06-09,2025-06-09,Released,Delivery Audit Confirmed
ESC-31556,Order Purchase,ORD-11556,CUST-1556,STR-502,2796,2025-06-08,2025-06-08,Released,Delivery Audit Confirmed
ESC-31557,Order Purchase,ORD-11557,CUST-1557,STR-503,998,2025-08-17,PENDING,Refunded,Delivery Audit Confirmed
ESC-31558,Order Purchase,ORD-11558,CUST-1558,STR-504,2998,2025-12-21,2025-12-21,Released,Delivery Audit Confirmed
ESC-31559,Order Purchase,ORD-11559,CUST-1559,STR-505,5996,2025-02-06,PENDING,Held,Delivery Audit Confirmed
ESC-31560,Order Purchase,ORD-11560,CUST-1560,STR-501,4497,2025-03-28,2025-03-28,Released,Delivery Audit Confirmed
ESC-31561,Order Purchase,ORD-11561,CUST-1561,STR-502,2499,2025-08-01,2025-08-01,Released,Delivery Audit Confirmed
ESC-31562,Order Purchase,ORD-11562,CUST-1562,STR-503,4497,2025-02-03,2025-02-03,Released,Delivery Audit Confirmed
ESC-31563,Order Purchase,ORD-11563,CUST-1563,STR-504,5996,2025-08-08,2025-08-08,Released,Delivery Audit Confirmed
ESC-31564,Order Purchase,ORD-11564,CUST-1564,STR-505,1499,2025-01-19,2025-01-19,Released,Delivery Audit Confirmed
ESC-31565,Order Purchase,ORD-11565,CUST-1565,STR-501,13996,2025-04-21,PENDING,Held,Delivery Audit Confirmed
ESC-31566,Order Purchase,ORD-11566,CUST-1566,STR-502,2997,2025-05-22,PENDING,Refunded,Delivery Audit Confirmed
ESC-31567,Order Purchase,ORD-11567,CUST-1567,STR-503,4998,2025-02-07,2025-02-07,Released,Delivery Audit Confirmed
ESC-31568,Order Purchase,ORD-11568,CUST-1568,STR-504,4497,2026-06-07,2026-06-07,Released,Delivery Audit Confirmed
ESC-31569,Order Purchase,ORD-11569,CUST-1569,STR-505,499,2025-09-12,2025-09-12,Released,Delivery Audit Confirmed
ESC-31570,Order Purchase,ORD-11570,CUST-1570,STR-501,1499,2025-11-11,2025-11-11,Released,Delivery Audit Confirmed
ESC-31571,Order Purchase,ORD-11571,CUST-1571,STR-502,4998,2025-10-05,2025-10-05,Released,Delivery Audit Confirmed
ESC-31572,Order Purchase,ORD-11572,CUST-1572,STR-503,1398,2026-06-19,2026-06-19,Released,Delivery Audit Confirmed
ESC-31573,Order Purchase,ORD-11573,CUST-1573,STR-504,1398,2025-02-27,2025-02-27,Released,Delivery Audit Confirmed
ESC-31574,Order Purchase,ORD-11574,CUST-1574,STR-505,1996,2026-01-17,2026-01-17,Released,Delivery Audit Confirmed
ESC-31575,Order Purchase,ORD-11575,CUST-1575,STR-501,4998,2025-02-14,2025-02-14,Released,Delivery Audit Confirmed
ESC-31576,Order Purchase,ORD-11576,CUST-1576,STR-502,699,2025-02-14,2025-02-14,Released,Delivery Audit Confirmed
ESC-31577,Order Purchase,ORD-11577,CUST-1577,STR-503,2796,2026-05-13,2026-05-13,Released,Delivery Audit Confirmed
