logistics_id,order_id,carrier_name,dispatch_date,estimated_days,actual_days,shipping_cost_inr,delivery_status
LOG-7336,ORD-6484,Ecom Express,2025-03-06,6,5,287.19,Yes
LOG-7337,ORD-5712,Shadowfax B2B,2025-01-28,2,1,520.1,Yes
LOG-7338,ORD-5456,BlueDart Express,2025-02-12,4,6,110.92,Delayed
LOG-7339,ORD-5289,XpressBees,2025-08-24,3,6,237.97,Delayed
LOG-7340,ORD-6034,XpressBees,2025-11-17,6,5,156.13,Yes
LOG-7341,ORD-5360,Delhivery Surface,2025-01-01,2,5,413.28,Delayed
LOG-7342,ORD-5792,XpressBees,2025-06-05,5,8,490.9,Delayed
LOG-7343,ORD-7297,Shadowfax B2B,2025-09-02,3,3,524.96,Yes
LOG-7344,ORD-5894,BlueDart Express,2025-02-01,4,5,425.17,Yes
LOG-7345,ORD-7023,Shadowfax B2B,2025-11-18,3,5,650.69,Delayed
LOG-7346,ORD-6487,Ecom Express,2025-08-03,2,5,155.57,Delayed
LOG-7347,ORD-5295,XpressBees,2025-10-08,3,3,74.48,Yes
LOG-7348,ORD-5874,BlueDart Express,2025-09-27,5,6,143.88,Yes
LOG-7349,ORD-6575,BlueDart Express,2025-11-23,3,2,167.32,Yes
LOG-7350,ORD-6694,Ecom Express,2025-03-01,5,8,224.73,Delayed
LOG-7351,ORD-7076,Delhivery Surface,2025-06-12,6,9,105.62,Delayed
LOG-7352,ORD-6895,Shadowfax B2B,2025-05-21,2,2,161.67,Yes
LOG-7353,ORD-7366,BlueDart Express,2025-10-20,3,3,734.48,Yes
LOG-7354,ORD-5574,XpressBees,2025-03-18,5,7,688.94,Delayed
LOG-7355,ORD-5717,Shadowfax B2B,2025-11-05,3,5,462.39,Delayed
LOG-7356,ORD-7479,XpressBees,2025-10-18,4,4,706.03,Yes
LOG-7357,ORD-6283,Delhivery Surface,2025-11-11,5,6,238.12,Yes
LOG-7358,ORD-7131,Ecom Express,2025-05-08,5,8,360.15,Delayed
LOG-7359,ORD-5463,BlueDart Express,2025-02-08,4,4,212.34,Yes
LOG-7360,ORD-6746,Ecom Express,2025-01-13,6,9,76.92,Delayed
LOG-7361,ORD-7302,Shadowfax B2B,2025-09-03,2,3,278.91,Yes
LOG-7362,ORD-6425,XpressBees,2025-12-12,2,4,542.03,Delayed
LOG-7363,ORD-5684,Shadowfax B2B,2025-09-29,5,8,95.97,Delayed
LOG-7364,ORD-6460,XpressBees,2025-02-20,3,2,552.14,Yes
LOG-7365,ORD-6092,Shadowfax B2B,2025-05-01,5,5,140.2,Yes
LOG-7366,ORD-5732,Shadowfax B2B,2025-07-22,2,2,160.57,Yes
LOG-7367,ORD-6328,XpressBees,2025-06-02,2,5,609.45,Delayed
LOG-7368,ORD-5718,XpressBees,2025-06-13,4,7,466.71,Delayed
LOG-7369,ORD-7006,Shadowfax B2B,2025-04-27,5,8,194.94,Delayed
LOG-7370,ORD-6471,Shadowfax B2B,2025-10-24,4,5,106.54,Yes
LOG-7371,ORD-5599,Ecom Express,2025-08-20,4,3,110.71,Yes
LOG-7372,ORD-6964,Delhivery Surface,2025-07-20,5,4,210.71,Yes
LOG-7373,ORD-7162,Shadowfax B2B,2025-03-17,4,6,720.91,Delayed
LOG-7374,ORD-6897,Shadowfax B2B,2025-02-23,2,2,311.69,Yes
LOG-7375,ORD-7276,Ecom Express,2025-03-24,3,3,81.13,Yes
LOG-7376,ORD-5060,XpressBees,2025-01-22,4,6,719.81,Delayed
LOG-7377,ORD-5132,XpressBees,2025-03-16,6,6,493.51,Yes
LOG-7378,ORD-7289,Delhivery Surface,2025-09-19,5,5,723.47,Yes
LOG-7379,ORD-5702,BlueDart Express,2025-01-21,5,8,422.09,Delayed
LOG-7380,ORD-5341,Delhivery Surface,2025-11-22,5,5,554.23,Yes
LOG-7381,ORD-6447,Ecom Express,2025-10-06,4,4,186.89,Yes
LOG-7382,ORD-6934,Delhivery Surface,2025-01-04,2,5,369.94,Delayed
LOG-7383,ORD-5093,XpressBees,2025-06-01,3,6,384.27,Delayed
LOG-7384,ORD-5285,Shadowfax B2B,2025-12-16,3,5,483.02,Delayed
LOG-7385,ORD-6761,Delhivery Surface,2025-11-19,5,6,105.69,Yes
LOG-7386,ORD-6341,Ecom Express,2025-06-19,2,1,72.64,Yes
LOG-7387,ORD-6489,BlueDart Express,2025-01-17,6,5,486.73,Yes
LOG-7388,ORD-7203,Ecom Express,2025-03-07,3,5,665.21,Delayed
LOG-7389,ORD-5852,BlueDart Express,2025-01-07,3,5,67.41,Delayed
LOG-7390,ORD-6851,Delhivery Surface,2025-03-08,3,4,86.42,Yes
LOG-7391,ORD-7167,Delhivery Surface,2025-01-02,3,4,531.13,Yes
LOG-7392,ORD-6125,Delhivery Surface,2025-08-22,4,4,456.28,Yes
LOG-7393,ORD-6781,XpressBees,2025-03-14,6,5,656.48,Yes
LOG-7394,ORD-5459,Shadowfax B2B,2025-07-22,3,2,351.2,Yes
LOG-7395,ORD-6747,XpressBees,2025-07-17,6,8,561.55,Delayed
LOG-7396,ORD-6252,BlueDart Express,2025-05-08,3,2,235.43,Yes
LOG-7397,ORD-6141,Ecom Express,2025-02-02,2,4,128.72,Delayed
LOG-7398,ORD-6602,Ecom Express,2025-10-25,5,4,81.13,Yes
LOG-7399,ORD-7239,Ecom Express,2025-05-29,4,7,78.95,Delayed
LOG-7400,ORD-6349,BlueDart Express,2025-09-08,5,6,158.46,Yes
LOG-7401,ORD-6692,Delhivery Surface,2025-09-22,2,5,149.42,Delayed
LOG-7402,ORD-5393,BlueDart Express,2025-07-03,2,3,624.5,Yes
LOG-7403,ORD-7498,Shadowfax B2B,2025-11-12,6,8,128.11,Delayed
LOG-7404,ORD-5800,BlueDart Express,2025-06-18,3,4,317.01,Yes
LOG-7405,ORD-6002,Delhivery Surface,2025-03-10,6,5,283.82,Yes
LOG-7406,ORD-7246,Delhivery Surface,2025-08-22,5,6,222.16,Yes
LOG-7407,ORD-6111,BlueDart Express,2025-06-06,5,7,180.31,Delayed
LOG-7408,ORD-6393,Delhivery Surface,2025-11-02,4,3,592.4,Yes
LOG-7409,ORD-5357,BlueDart Express,2025-06-18,3,4,280.35,Yes
LOG-7410,ORD-6784,Delhivery Surface,2025-08-26,5,8,440.99,Delayed
LOG-7411,ORD-5726,Shadowfax B2B,2025-01-21,3,2,738.39,Yes
LOG-7412,ORD-6132,XpressBees,2025-10-28,2,2,73.71,Yes
LOG-7413,ORD-6470,XpressBees,2025-09-17,2,5,384.91,Delayed
LOG-7414,ORD-7227,Shadowfax B2B,2025-02-04,4,4,182.88,Yes
LOG-7415,ORD-5902,Ecom Express,2025-06-18,4,5,471.42,Yes
LOG-7416,ORD-5742,BlueDart Express,2025-06-16,4,7,340.67,Delayed
LOG-7417,ORD-6316,Shadowfax B2B,2025-09-11,6,9,737.96,Delayed
LOG-7418,ORD-5362,BlueDart Express,2025-12-15,3,5,742.71,Delayed
LOG-7419,ORD-7246,Delhivery Surface,2025-01-10,4,5,382.74,Yes
LOG-7420,ORD-5585,Shadowfax B2B,2025-05-09,4,3,120.56,Yes
LOG-7421,ORD-6594,BlueDart Express,2025-10-09,6,7,727.91,Yes
LOG-7422,ORD-7337,Shadowfax B2B,2025-01-20,2,3,514.92,Yes
LOG-7423,ORD-5688,Delhivery Surface,2025-03-01,3,3,321.45,Yes
LOG-7424,ORD-7137,XpressBees,2025-07-12,2,1,691.64,Yes
LOG-7425,ORD-5802,Ecom Express,2025-08-23,5,4,149.63,Yes
LOG-7426,ORD-7080,XpressBees,2025-09-22,6,9,557.85,Delayed
LOG-7427,ORD-5029,Shadowfax B2B,2025-05-24,5,4,570.93,Yes
LOG-7428,ORD-6010,XpressBees,2025-11-06,5,8,669.86,Delayed
LOG-7429,ORD-7435,Delhivery Surface,2025-08-27,2,3,540.19,Yes
LOG-7430,ORD-5200,Delhivery Surface,2025-04-19,6,8,576.24,Delayed
LOG-7431,ORD-7127,Ecom Express,2025-03-16,6,7,566.38,Yes
LOG-7432,ORD-7298,XpressBees,2025-09-20,5,8,509.85,Delayed
LOG-7433,ORD-7237,Ecom Express,2025-05-01,6,8,333.19,Delayed
LOG-7434,ORD-5995,BlueDart Express,2025-10-19,2,1,384.48,Yes
LOG-7435,ORD-7034,XpressBees,2025-05-26,6,9,736.35,Delayed
LOG-7436,ORD-6218,Ecom Express,2025-06-10,5,6,659.99,Yes
LOG-7437,ORD-6269,Ecom Express,2025-02-26,2,4,338.06,Delayed
LOG-7438,ORD-5698,Shadowfax B2B,2025-03-11,5,6,256.52,Yes
LOG-7439,ORD-5952,Ecom Express,2025-08-20,4,7,135.3,Delayed
LOG-7440,ORD-6602,BlueDart Express,2025-05-13,3,4,460.02,Yes
LOG-7441,ORD-7112,Delhivery Surface,2025-11-09,6,7,718.82,Yes
LOG-7442,ORD-7326,BlueDart Express,2025-08-25,6,9,726.63,Delayed
LOG-7443,ORD-6491,XpressBees,2025-06-10,5,8,581.87,Delayed
LOG-7444,ORD-7036,Ecom Express,2025-08-02,6,5,321.11,Yes
LOG-7445,ORD-7156,Ecom Express,2025-04-22,4,3,397.28,Yes
LOG-7446,ORD-5863,BlueDart Express,2025-08-15,2,4,381.33,Delayed
LOG-7447,ORD-6589,BlueDart Express,2025-11-23,3,4,513.74,Yes
LOG-7448,ORD-5011,Shadowfax B2B,2025-09-18,6,6,327.65,Yes
LOG-7449,ORD-5642,Delhivery Surface,2025-04-08,3,6,281.87,Delayed
LOG-7450,ORD-5056,Delhivery Surface,2025-04-07,5,8,465.63,Delayed
LOG-7451,ORD-6393,Delhivery Surface,2025-10-11,4,3,562.35,Yes
LOG-7452,ORD-5919,BlueDart Express,2025-03-12,5,6,194.94,Yes
LOG-7453,ORD-6879,Delhivery Surface,2025-06-10,4,3,256.47,Yes
LOG-7454,ORD-6846,Delhivery Surface,2025-05-15,6,5,189.98,Yes
LOG-7455,ORD-5525,Delhivery Surface,2025-05-18,5,7,111.64,Delayed
LOG-7456,ORD-6737,XpressBees,2025-06-18,2,5,227.69,Delayed
LOG-7457,ORD-6463,Ecom Express,2025-07-08,4,6,740.82,Delayed
LOG-7458,ORD-5172,Delhivery Surface,2025-01-19,2,4,138.35,Delayed
LOG-7459,ORD-6031,BlueDart Express,2025-04-10,5,6,243.17,Yes
LOG-7460,ORD-6477,XpressBees,2025-05-21,5,7,136.7,Delayed
LOG-7461,ORD-5656,BlueDart Express,2025-10-10,6,6,699.75,Yes
LOG-7462,ORD-7446,BlueDart Express,2025-11-22,3,5,527.13,Delayed
LOG-7463,ORD-5059,Shadowfax B2B,2025-06-16,2,4,567.11,Delayed
LOG-7464,ORD-5424,Delhivery Surface,2025-03-28,3,6,507.88,Delayed
LOG-7465,ORD-5109,Ecom Express,2025-07-17,4,5,349.28,Yes
LOG-7466,ORD-6445,Delhivery Surface,2025-12-10,2,3,315.98,Yes
LOG-7467,ORD-6327,Ecom Express,2025-10-25,4,3,146.99,Yes
LOG-7468,ORD-6671,Delhivery Surface,2025-06-20,5,4,404.81,Yes
LOG-7469,ORD-6996,XpressBees,2025-11-07,4,4,220.14,Yes
LOG-7470,ORD-5561,Shadowfax B2B,2025-07-29,3,6,558.99,Delayed
LOG-7471,ORD-5253,Ecom Express,2025-12-14,5,4,80.17,Yes
LOG-7472,ORD-5729,Delhivery Surface,2025-07-24,6,8,557.4,Delayed
LOG-7473,ORD-5583,Shadowfax B2B,2025-10-16,2,2,713.39,Yes
LOG-7474,ORD-5753,Delhivery Surface,2025-02-01,6,8,318.42,Delayed
LOG-7475,ORD-6382,BlueDart Express,2025-07-25,2,4,593.55,Delayed
LOG-7476,ORD-5153,Shadowfax B2B,2025-11-26,5,4,693.2,Yes
LOG-7477,ORD-5275,Ecom Express,2025-12-14,2,2,86.68,Yes
LOG-7478,ORD-5849,XpressBees,2025-04-17,4,5,482.0,Yes
LOG-7479,ORD-6873,Shadowfax B2B,2025-11-03,5,5,689.53,Yes
LOG-7480,ORD-6567,Delhivery Surface,2025-02-07,6,6,533.25,Yes
LOG-7481,ORD-5948,XpressBees,2025-11-22,2,5,168.71,Delayed
LOG-7482,ORD-6548,XpressBees,2025-03-17,2,1,646.57,Yes
LOG-7483,ORD-5919,BlueDart Express,2025-09-03,2,2,179.6,Yes
LOG-7484,ORD-6712,BlueDart Express,2025-01-29,6,6,670.28,Yes
LOG-7485,ORD-7093,Delhivery Surface,2025-12-01,5,7,576.53,Delayed
LOG-7486,ORD-5745,Shadowfax B2B,2025-01-28,4,5,488.11,Yes
LOG-7487,ORD-6328,Shadowfax B2B,2025-10-05,6,8,604.61,Delayed
LOG-7488,ORD-7243,Delhivery Surface,2025-02-01,5,5,164.0,Yes
LOG-7489,ORD-7124,BlueDart Express,2025-02-10,3,5,733.47,Delayed
LOG-7490,ORD-7267,BlueDart Express,2025-05-30,4,6,545.55,Delayed
LOG-7491,ORD-6498,XpressBees,2025-10-24,4,4,571.05,Yes
LOG-7492,ORD-6109,Shadowfax B2B,2025-07-29,2,5,347.7,Delayed
LOG-7493,ORD-5080,Shadowfax B2B,2025-05-16,5,5,539.39,Yes
LOG-7494,ORD-6053,Ecom Express,2025-04-01,4,6,210.09,Delayed
LOG-7495,ORD-7254,Shadowfax B2B,2025-05-09,5,7,437.74,Delayed
LOG-7496,ORD-7197,Ecom Express,2025-01-08,5,4,619.22,Yes
LOG-7497,ORD-7483,Ecom Express,2025-08-02,4,6,382.99,Delayed
LOG-7498,ORD-5217,Shadowfax B2B,2025-02-14,3,6,414.62,Delayed
LOG-7499,ORD-7485,Shadowfax B2B,2025-03-20,6,7,166.99,Yes
LOG-7500,ORD-7140,BlueDart Express,2025-11-03,3,6,609.69,Delayed
LOG-7501,ORD-5601,Shadowfax B2B,2025-02-06,5,6,142.47,Yes
LOG-7502,ORD-5110,BlueDart Express,2025-06-24,3,5,111.43,Delayed
LOG-7503,ORD-7114,Shadowfax B2B,2025-01-18,4,6,562.76,Delayed
LOG-7504,ORD-6630,XpressBees,2025-09-21,2,2,111.25,Yes
LOG-7505,ORD-6645,Shadowfax B2B,2025-06-06,5,8,638.3,Delayed
LOG-7506,ORD-5263,Delhivery Surface,2025-08-27,6,9,191.73,Delayed
LOG-7507,ORD-5505,Delhivery Surface,2025-05-15,3,6,532.45,Delayed
LOG-7508,ORD-5976,Ecom Express,2025-12-11,4,3,638.53,Yes
LOG-7509,ORD-5074,BlueDart Express,2025-10-23,6,5,734.2,Yes
LOG-7510,ORD-7279,Ecom Express,2025-10-12,2,5,363.59,Delayed
LOG-7511,ORD-5486,Shadowfax B2B,2025-01-01,6,8,395.27,Delayed
LOG-7512,ORD-5421,Ecom Express,2025-03-29,2,4,382.46,Delayed
LOG-7513,ORD-5424,BlueDart Express,2025-08-30,4,3,256.64,Yes
LOG-7514,ORD-5922,Shadowfax B2B,2025-10-08,6,7,565.09,Yes
LOG-7515,ORD-7446,Shadowfax B2B,2025-08-20,3,4,344.48,Yes
LOG-7516,ORD-5220,Ecom Express,2025-02-04,2,1,699.2,Yes
LOG-7517,ORD-7338,BlueDart Express,2025-01-27,5,4,622.52,Yes
LOG-7518,ORD-7034,XpressBees,2025-07-05,2,2,68.16,Yes
LOG-7519,ORD-5197,Delhivery Surface,2025-06-28,4,7,386.75,Delayed
LOG-7520,ORD-5941,XpressBees,2025-03-31,2,1,68.25,Yes
LOG-7521,ORD-5706,XpressBees,2025-08-29,4,7,605.48,Delayed
LOG-7522,ORD-6939,Ecom Express,2025-11-28,5,6,501.6,Yes
LOG-7523,ORD-7455,Shadowfax B2B,2025-06-14,6,8,576.23,Delayed
LOG-7524,ORD-6043,Delhivery Surface,2025-06-27,3,5,517.54,Delayed
LOG-7525,ORD-6057,Delhivery Surface,2025-01-29,4,3,339.08,Yes
LOG-7526,ORD-5463,Ecom Express,2025-04-19,5,6,87.15,Yes
LOG-7527,ORD-6501,BlueDart Express,2025-04-07,3,5,706.83,Delayed
LOG-7528,ORD-5942,Shadowfax B2B,2025-08-05,5,8,592.3,Delayed
LOG-7529,ORD-7491,Shadowfax B2B,2025-07-14,6,5,573.04,Yes
LOG-7530,ORD-6544,BlueDart Express,2025-09-29,4,5,402.52,Yes
LOG-7531,ORD-5363,Shadowfax B2B,2025-06-04,6,5,611.96,Yes
LOG-7532,ORD-7134,Ecom Express,2025-11-12,5,8,411.31,Delayed
LOG-7533,ORD-6127,Ecom Express,2025-10-29,6,5,415.7,Yes
LOG-7534,ORD-5867,Ecom Express,2025-09-15,5,5,255.44,Yes
LOG-7535,ORD-5185,Ecom Express,2025-08-16,4,5,288.18,Yes
LOG-7536,ORD-7314,XpressBees,2025-10-23,6,8,204.28,Delayed
LOG-7537,ORD-6059,Ecom Express,2025-05-05,4,4,732.07,Yes
LOG-7538,ORD-7422,BlueDart Express,2025-02-19,2,1,537.12,Yes
LOG-7539,ORD-5233,XpressBees,2025-07-10,2,5,232.7,Delayed
LOG-7540,ORD-6738,XpressBees,2025-11-09,6,7,471.55,Yes
LOG-7541,ORD-5680,BlueDart Express,2025-05-05,4,7,344.31,Delayed
LOG-7542,ORD-7049,Delhivery Surface,2025-01-27,5,5,509.08,Yes
LOG-7543,ORD-7179,BlueDart Express,2025-01-21,3,3,513.08,Yes
LOG-7544,ORD-6715,Ecom Express,2025-03-21,4,7,727.79,Delayed
LOG-7545,ORD-7029,Delhivery Surface,2025-01-05,4,5,264.59,Yes
LOG-7546,ORD-5672,XpressBees,2025-09-22,5,8,656.48,Delayed
LOG-7547,ORD-7498,Delhivery Surface,2025-02-02,4,6,730.5,Delayed
LOG-7548,ORD-6047,XpressBees,2025-10-04,4,6,270.48,Delayed
LOG-7549,ORD-5021,Ecom Express,2025-03-31,6,6,705.48,Yes
LOG-7550,ORD-5425,Shadowfax B2B,2025-10-08,4,6,740.8,Delayed
LOG-7551,ORD-5739,BlueDart Express,2025-05-15,5,4,376.03,Yes
LOG-7552,ORD-7045,Ecom Express,2025-10-02,2,3,297.45,Yes
LOG-7553,ORD-5591,XpressBees,2025-04-03,5,7,656.35,Delayed
LOG-7554,ORD-6753,XpressBees,2025-09-15,6,9,373.95,Delayed
LOG-7555,ORD-7220,XpressBees,2025-08-25,5,6,262.3,Yes
LOG-7556,ORD-6350,XpressBees,2025-05-13,5,6,726.87,Yes
LOG-7557,ORD-5966,Ecom Express,2025-01-03,2,5,699.08,Delayed
LOG-7558,ORD-5558,XpressBees,2025-04-20,5,4,536.97,Yes
LOG-7559,ORD-7467,Shadowfax B2B,2025-04-04,5,6,517.81,Yes
LOG-7560,ORD-5263,XpressBees,2025-04-17,4,6,678.11,Delayed
LOG-7561,ORD-7114,XpressBees,2025-01-14,2,2,639.8,Yes
LOG-7562,ORD-7163,Ecom Express,2025-05-31,5,8,227.26,Delayed
LOG-7563,ORD-6432,Shadowfax B2B,2025-03-02,2,3,342.62,Yes
LOG-7564,ORD-6647,Delhivery Surface,2025-03-09,3,2,726.6,Yes
LOG-7565,ORD-6907,BlueDart Express,2025-12-03,5,6,483.17,Yes
LOG-7566,ORD-7124,BlueDart Express,2025-06-11,3,2,321.35,Yes
LOG-7567,ORD-5538,Delhivery Surface,2025-08-19,4,4,231.17,Yes
LOG-7568,ORD-5874,Shadowfax B2B,2025-12-12,3,5,106.51,Delayed
LOG-7569,ORD-6696,Delhivery Surface,2025-05-26,4,6,661.82,Delayed
LOG-7570,ORD-6443,Shadowfax B2B,2025-04-07,2,1,149.74,Yes
LOG-7571,ORD-5314,Delhivery Surface,2025-10-06,2,4,435.73,Delayed
LOG-7572,ORD-5762,XpressBees,2025-09-07,6,5,685.26,Yes
LOG-7573,ORD-6705,BlueDart Express,2025-06-13,4,5,489.58,Yes
LOG-7574,ORD-7092,Ecom Express,2025-09-20,5,7,219.84,Delayed
LOG-7575,ORD-6774,Ecom Express,2025-06-01,2,5,701.76,Delayed
LOG-7576,ORD-5677,XpressBees,2025-12-15,6,6,293.63,Yes
LOG-7577,ORD-5312,Delhivery Surface,2025-12-06,6,9,323.05,Delayed
LOG-7578,ORD-7393,BlueDart Express,2025-06-11,6,7,329.18,Yes
LOG-7579,ORD-7482,XpressBees,2025-06-08,3,6,406.04,Delayed
LOG-7580,ORD-5641,XpressBees,2025-05-27,5,4,286.55,Yes
LOG-7581,ORD-5183,Delhivery Surface,2025-02-10,3,3,622.0,Yes
LOG-7582,ORD-7214,XpressBees,2025-08-24,2,2,204.63,Yes
LOG-7583,ORD-5653,BlueDart Express,2025-04-17,5,7,420.84,Delayed
LOG-7584,ORD-6201,Delhivery Surface,2025-08-15,5,8,328.55,Delayed
LOG-7585,ORD-6751,XpressBees,2025-12-06,4,4,385.13,Yes
LOG-7586,ORD-7168,Shadowfax B2B,2025-07-13,2,2,163.18,Yes
LOG-7587,ORD-7072,Shadowfax B2B,2025-08-18,6,6,633.5,Yes
LOG-7588,ORD-6793,BlueDart Express,2025-01-04,5,5,519.43,Yes
LOG-7589,ORD-5933,Delhivery Surface,2025-05-17,4,5,391.43,Yes
LOG-7590,ORD-6402,Shadowfax B2B,2025-03-30,3,3,652.56,Yes
LOG-7591,ORD-6856,Shadowfax B2B,2025-11-26,2,1,235.74,Yes
LOG-7592,ORD-5873,Ecom Express,2025-09-29,4,7,384.17,Delayed
LOG-7593,ORD-5250,Delhivery Surface,2025-08-25,3,3,177.45,Yes
LOG-7594,ORD-6411,Shadowfax B2B,2025-01-12,4,4,604.17,Yes
LOG-7595,ORD-5172,Delhivery Surface,2025-06-19,4,5,260.34,Yes
LOG-7596,ORD-6682,XpressBees,2025-11-06,3,6,609.08,Delayed
LOG-7597,ORD-6877,BlueDart Express,2025-05-31,2,1,346.74,Yes
LOG-7598,ORD-7286,XpressBees,2025-02-05,4,7,350.71,Delayed
LOG-7599,ORD-6170,Shadowfax B2B,2025-11-27,5,5,424.07,Yes
LOG-7600,ORD-6407,Shadowfax B2B,2025-11-08,2,3,725.1,Yes
LOG-7601,ORD-6141,XpressBees,2025-12-10,4,6,404.63,Delayed
LOG-7602,ORD-5935,Delhivery Surface,2025-04-06,3,6,645.22,Delayed
LOG-7603,ORD-5668,Ecom Express,2025-10-06,6,7,303.05,Yes
LOG-7604,ORD-6906,Shadowfax B2B,2025-01-15,2,4,674.91,Delayed
LOG-7605,ORD-5980,XpressBees,2025-05-15,4,7,639.81,Delayed
LOG-7606,ORD-6143,Delhivery Surface,2025-08-04,4,3,396.85,Yes
LOG-7607,ORD-5099,XpressBees,2025-11-01,4,4,100.82,Yes
LOG-7608,ORD-5528,BlueDart Express,2025-04-26,3,6,413.04,Delayed
LOG-7609,ORD-5481,Delhivery Surface,2025-09-16,5,4,658.33,Yes
LOG-7610,ORD-6540,Delhivery Surface,2025-10-06,3,3,305.54,Yes
LOG-7611,ORD-7252,XpressBees,2025-01-28,4,7,594.79,Delayed
LOG-7612,ORD-5311,BlueDart Express,2025-10-04,2,1,312.52,Yes
LOG-7613,ORD-5895,Delhivery Surface,2025-08-23,4,4,284.99,Yes
LOG-7614,ORD-6878,BlueDart Express,2025-03-08,5,7,174.33,Delayed
LOG-7615,ORD-6888,BlueDart Express,2025-06-13,5,6,479.63,Yes
LOG-7616,ORD-6508,Shadowfax B2B,2025-10-25,4,5,722.89,Yes
LOG-7617,ORD-6396,XpressBees,2025-06-25,6,9,315.89,Delayed
LOG-7618,ORD-6507,BlueDart Express,2025-06-25,4,4,534.95,Yes
LOG-7619,ORD-6585,Delhivery Surface,2025-10-16,2,4,139.17,Delayed
LOG-7620,ORD-7106,Ecom Express,2025-05-27,2,5,214.74,Delayed
LOG-7621,ORD-6414,Delhivery Surface,2025-06-10,3,4,158.95,Yes
LOG-7622,ORD-5253,Shadowfax B2B,2025-12-09,6,9,173.18,Delayed
LOG-7623,ORD-5305,Shadowfax B2B,2025-11-29,4,3,662.83,Yes
LOG-7624,ORD-7500,Delhivery Surface,2025-02-17,4,5,399.08,Yes
LOG-7625,ORD-6212,Ecom Express,2025-03-18,2,2,87.85,Yes
LOG-7626,ORD-5556,Shadowfax B2B,2025-11-19,5,8,668.38,Delayed
LOG-7627,ORD-6898,Delhivery Surface,2025-01-14,6,9,157.63,Delayed
LOG-7628,ORD-5233,Delhivery Surface,2025-07-05,3,3,559.21,Yes
LOG-7629,ORD-5376,Delhivery Surface,2025-05-26,4,3,568.38,Yes
LOG-7630,ORD-5709,XpressBees,2025-04-13,5,5,259.8,Yes
LOG-7631,ORD-5091,XpressBees,2025-05-09,2,2,610.08,Yes
LOG-7632,ORD-5363,XpressBees,2025-01-20,4,4,303.97,Yes
LOG-7633,ORD-7342,Ecom Express,2025-10-26,6,5,548.11,Yes
LOG-7634,ORD-6157,Shadowfax B2B,2025-11-08,4,3,154.04,Yes
LOG-7635,ORD-5970,Delhivery Surface,2025-06-16,4,6,65.63,Delayed
LOG-7636,ORD-7268,XpressBees,2025-02-14,2,2,611.94,Yes
LOG-7637,ORD-5956,Ecom Express,2025-09-15,4,6,107.37,Delayed
LOG-7638,ORD-5878,XpressBees,2025-11-16,5,5,675.82,Yes
LOG-7639,ORD-6752,XpressBees,2025-08-01,2,2,400.56,Yes
LOG-7640,ORD-6190,Delhivery Surface,2025-03-01,2,2,77.88,Yes
LOG-7641,ORD-5678,XpressBees,2025-02-14,3,6,117.67,Delayed
LOG-7642,ORD-5917,BlueDart Express,2025-02-17,4,7,652.92,Delayed
LOG-7643,ORD-7296,BlueDart Express,2025-03-25,6,9,716.04,Delayed
LOG-7644,ORD-5208,XpressBees,2025-10-07,6,5,459.09,Yes
LOG-7645,ORD-6689,Ecom Express,2025-07-04,3,3,140.74,Yes
LOG-7646,ORD-7345,BlueDart Express,2025-12-13,6,9,84.91,Delayed
LOG-7647,ORD-5632,BlueDart Express,2025-12-10,3,3,281.44,Yes
LOG-7648,ORD-7301,Delhivery Surface,2025-02-18,5,5,221.12,Yes
LOG-7649,ORD-6766,Shadowfax B2B,2025-09-08,2,3,731.92,Yes
LOG-7650,ORD-5284,Shadowfax B2B,2025-02-13,2,2,536.64,Yes
LOG-7651,ORD-7307,BlueDart Express,2025-11-13,2,5,607.3,Delayed
LOG-7652,ORD-6963,Ecom Express,2025-01-19,4,3,137.29,Yes
LOG-7653,ORD-5844,Delhivery Surface,2025-01-12,3,4,717.35,Yes
LOG-7654,ORD-6080,XpressBees,2025-07-08,5,4,721.12,Yes
LOG-7655,ORD-5314,Ecom Express,2025-09-23,5,7,298.01,Delayed
LOG-7656,ORD-7032,Shadowfax B2B,2025-06-27,3,4,548.17,Yes
LOG-7657,ORD-6882,Delhivery Surface,2025-04-26,2,4,581.57,Delayed
LOG-7658,ORD-5856,BlueDart Express,2025-07-21,2,2,516.87,Yes
LOG-7659,ORD-7064,BlueDart Express,2025-02-17,2,3,591.67,Yes
LOG-7660,ORD-6801,BlueDart Express,2025-04-07,6,9,321.59,Delayed
LOG-7661,ORD-5843,BlueDart Express,2025-08-06,5,7,75.67,Delayed
LOG-7662,ORD-6415,XpressBees,2025-11-08,4,6,690.66,Delayed
LOG-7663,ORD-6626,Shadowfax B2B,2025-11-06,3,3,740.9,Yes
LOG-7664,ORD-6016,Delhivery Surface,2025-08-25,2,1,400.28,Yes
LOG-7665,ORD-6304,XpressBees,2025-01-05,2,5,401.88,Delayed
LOG-7666,ORD-5270,Ecom Express,2025-12-02,2,5,350.39,Delayed
LOG-7667,ORD-6023,Delhivery Surface,2025-04-21,4,4,642.62,Yes
LOG-7668,ORD-6664,Ecom Express,2025-10-01,5,6,256.87,Yes
LOG-7669,ORD-7219,XpressBees,2025-10-10,3,6,663.94,Delayed
LOG-7670,ORD-5701,Delhivery Surface,2025-08-28,4,7,565.22,Delayed
LOG-7671,ORD-7367,Shadowfax B2B,2025-04-06,3,6,647.13,Delayed
