movement_id,product_id,movement_type,quantity_changed,movement_date,reference_doc
MOV-672,PRD-3470,PO Inbound,89,2025-05-31,REF-37611
MOV-673,PRD-3263,Warehouse Transfer,-41,2025-02-21,REF-73842
MOV-674,PRD-3466,Shrinkage Adjustment,-30,2025-07-23,REF-27759
MOV-675,PRD-3478,Sales Outbound,-29,2025-01-18,REF-28852
MOV-676,PRD-3378,Return Inbound,40,2025-05-07,REF-19419
MOV-677,PRD-3203,Sales Outbound,-37,2025-02-04,REF-51755
MOV-678,PRD-3262,Return Inbound,54,2025-05-20,REF-73241
MOV-679,PRD-3065,Return Inbound,54,2025-01-28,REF-47061
MOV-680,PRD-3197,Shrinkage Adjustment,-33,2025-03-22,REF-95638
MOV-681,PRD-3023,Sales Outbound,-28,2025-01-11,REF-61220
MOV-682,PRD-3356,PO Inbound,41,2025-06-29,REF-14301
MOV-683,PRD-3340,Sales Outbound,-26,2025-02-03,REF-41137
MOV-684,PRD-3132,PO Inbound,90,2025-08-30,REF-39679
MOV-685,PRD-3048,Sales Outbound,-10,2025-01-29,REF-66617
MOV-686,PRD-3197,Shrinkage Adjustment,-28,2025-07-27,REF-52332
MOV-687,PRD-3147,PO Inbound,42,2025-04-30,REF-93220
MOV-688,PRD-3092,Return Inbound,21,2025-02-28,REF-63985
MOV-689,PRD-3290,Return Inbound,29,2025-06-21,REF-39316
MOV-690,PRD-3360,Sales Outbound,-33,2025-08-11,REF-19604
MOV-691,PRD-3239,Warehouse Transfer,-43,2025-01-07,REF-57932
MOV-692,PRD-3284,PO Inbound,31,2025-09-23,REF-14197
MOV-693,PRD-3489,Return Inbound,58,2025-04-25,REF-34483
MOV-694,PRD-3060,Sales Outbound,-25,2025-08-16,REF-83127
MOV-695,PRD-3388,Warehouse Transfer,-25,2025-06-01,REF-56779
MOV-696,PRD-3171,Return Inbound,18,2025-07-29,REF-24445
MOV-697,PRD-3162,PO Inbound,4,2025-08-14,REF-11459
MOV-698,PRD-3377,Return Inbound,86,2025-07-07,REF-75237
MOV-699,PRD-3005,Return Inbound,21,2025-07-11,REF-14734
MOV-700,PRD-3288,Shrinkage Adjustment,-35,2025-09-10,REF-44987
MOV-701,PRD-3149,PO Inbound,17,2025-04-08,REF-55045
MOV-702,PRD-3476,Warehouse Transfer,-38,2025-10-07,REF-87244
MOV-703,PRD-3223,Sales Outbound,-21,2025-10-15,REF-62054
MOV-704,PRD-3306,Sales Outbound,-26,2025-05-07,REF-51109
MOV-705,PRD-3221,PO Inbound,5,2025-07-16,REF-94955
MOV-706,PRD-3096,Return Inbound,86,2025-06-27,REF-18245
MOV-707,PRD-3188,PO Inbound,62,2025-10-28,REF-68554
MOV-708,PRD-3356,Return Inbound,10,2025-10-27,REF-36313
MOV-709,PRD-3244,Warehouse Transfer,-17,2025-06-21,REF-38557
MOV-710,PRD-3035,Sales Outbound,-30,2025-04-12,REF-45011
MOV-711,PRD-3392,Return Inbound,43,2025-09-29,REF-94720
MOV-712,PRD-3011,PO Inbound,80,2025-09-10,REF-65457
MOV-713,PRD-3353,Sales Outbound,-8,2025-04-12,REF-45237
MOV-714,PRD-3214,PO Inbound,51,2025-05-22,REF-99554
MOV-715,PRD-3193,PO Inbound,41,2025-03-18,REF-66561
MOV-716,PRD-3395,Return Inbound,32,2025-03-19,REF-28499
MOV-717,PRD-3066,Return Inbound,100,2025-08-19,REF-15128
MOV-718,PRD-3380,Warehouse Transfer,-7,2025-01-02,REF-24052
MOV-719,PRD-3139,Warehouse Transfer,-45,2025-02-25,REF-31996
MOV-720,PRD-3299,Shrinkage Adjustment,-5,2025-10-13,REF-80155
MOV-721,PRD-3140,PO Inbound,100,2025-10-12,REF-88786
MOV-722,PRD-3451,Return Inbound,32,2025-08-18,REF-49589
MOV-723,PRD-3284,PO Inbound,18,2025-07-25,REF-77544
MOV-724,PRD-3057,Shrinkage Adjustment,-49,2025-05-08,REF-11086
MOV-725,PRD-3373,PO Inbound,67,2025-01-10,REF-52418
MOV-726,PRD-3264,Warehouse Transfer,-38,2025-01-07,REF-53214
MOV-727,PRD-3437,Warehouse Transfer,-3,2025-10-07,REF-25825
MOV-728,PRD-3138,PO Inbound,25,2025-04-21,REF-47043
MOV-729,PRD-3365,PO Inbound,44,2025-01-18,REF-82465
MOV-730,PRD-3430,PO Inbound,89,2025-01-25,REF-54446
MOV-731,PRD-3193,Sales Outbound,-22,2025-09-23,REF-96152
MOV-732,PRD-3222,Warehouse Transfer,-38,2025-01-20,REF-93199
MOV-733,PRD-3095,PO Inbound,100,2025-05-01,REF-18976
MOV-734,PRD-3050,Shrinkage Adjustment,-45,2025-08-01,REF-84500
MOV-735,PRD-3156,Shrinkage Adjustment,-2,2025-03-12,REF-93410
MOV-736,PRD-3039,Sales Outbound,-19,2025-08-09,REF-68722
MOV-737,PRD-3425,Shrinkage Adjustment,-50,2025-05-13,REF-28898
MOV-738,PRD-3259,PO Inbound,20,2025-06-27,REF-84184
MOV-739,PRD-3269,Sales Outbound,-26,2025-03-23,REF-16759
MOV-740,PRD-3235,Return Inbound,80,2025-09-18,REF-83400
MOV-741,PRD-3402,Return Inbound,75,2025-06-14,REF-88488
MOV-742,PRD-3039,Sales Outbound,-25,2025-01-03,REF-85854
MOV-743,PRD-3077,PO Inbound,32,2025-04-25,REF-20359
MOV-744,PRD-3371,Return Inbound,96,2025-08-10,REF-58423
MOV-745,PRD-3214,Return Inbound,64,2025-03-03,REF-64993
MOV-746,PRD-3201,Return Inbound,63,2025-09-20,REF-92800
MOV-747,PRD-3050,Sales Outbound,-2,2025-05-27,REF-85327
MOV-748,PRD-3320,Return Inbound,8,2025-06-05,REF-40817
MOV-749,PRD-3475,Warehouse Transfer,-37,2025-07-22,REF-48102
MOV-750,PRD-3333,PO Inbound,51,2025-05-19,REF-56099
MOV-751,PRD-3021,Warehouse Transfer,-25,2025-03-15,REF-83864
MOV-752,PRD-3450,Return Inbound,25,2025-03-08,REF-26656
MOV-753,PRD-3434,Sales Outbound,-2,2025-08-30,REF-29365
MOV-754,PRD-3139,Warehouse Transfer,-32,2025-07-17,REF-43380
MOV-755,PRD-3049,Sales Outbound,-27,2025-02-20,REF-38517
MOV-756,PRD-3343,Warehouse Transfer,-24,2025-07-05,REF-74226
MOV-757,PRD-3129,Return Inbound,70,2025-07-23,REF-25541
MOV-758,PRD-3259,PO Inbound,89,2025-06-15,REF-76060
MOV-759,PRD-3103,Warehouse Transfer,-16,2025-06-09,REF-14736
MOV-760,PRD-3266,Sales Outbound,-24,2025-05-19,REF-93032
MOV-761,PRD-3418,Return Inbound,19,2025-08-31,REF-77496
MOV-762,PRD-3272,Return Inbound,73,2025-10-07,REF-76839
MOV-763,PRD-3064,Warehouse Transfer,-12,2025-01-08,REF-66802
MOV-764,PRD-3314,Shrinkage Adjustment,-24,2025-07-15,REF-90376
MOV-765,PRD-3101,Sales Outbound,-24,2025-08-01,REF-28621
MOV-766,PRD-3488,Shrinkage Adjustment,-28,2025-03-25,REF-28200
MOV-767,PRD-3123,Shrinkage Adjustment,-35,2025-05-01,REF-20866
MOV-768,PRD-3413,Sales Outbound,-31,2025-06-24,REF-40237
MOV-769,PRD-3464,Return Inbound,16,2025-09-30,REF-36982
MOV-770,PRD-3314,Warehouse Transfer,-46,2025-06-26,REF-54461
MOV-771,PRD-3326,Shrinkage Adjustment,-36,2025-01-17,REF-31102
MOV-772,PRD-3464,Sales Outbound,-33,2025-01-10,REF-21525
MOV-773,PRD-3441,Shrinkage Adjustment,-32,2025-02-11,REF-98859
MOV-774,PRD-3499,PO Inbound,54,2025-03-08,REF-83928
MOV-775,PRD-3152,Return Inbound,3,2025-03-10,REF-60669
MOV-776,PRD-3339,Warehouse Transfer,-19,2025-05-17,REF-69615
MOV-777,PRD-3115,Return Inbound,86,2025-04-20,REF-46382
MOV-778,PRD-3049,Return Inbound,90,2025-05-07,REF-91433
MOV-779,PRD-3038,PO Inbound,96,2025-04-22,REF-34415
MOV-780,PRD-3487,Sales Outbound,-48,2025-03-05,REF-79283
MOV-781,PRD-3221,Shrinkage Adjustment,-30,2025-10-21,REF-93512
MOV-782,PRD-3026,Shrinkage Adjustment,-28,2025-09-07,REF-43686
MOV-783,PRD-3241,Shrinkage Adjustment,-42,2025-03-11,REF-16781
MOV-784,PRD-3365,PO Inbound,11,2025-02-01,REF-48702
MOV-785,PRD-3001,Warehouse Transfer,-15,2025-09-18,REF-42810
MOV-786,PRD-3127,Shrinkage Adjustment,-36,2025-03-30,REF-61679
MOV-787,PRD-3010,PO Inbound,83,2025-10-07,REF-68584
MOV-788,PRD-3241,Shrinkage Adjustment,-40,2025-06-27,REF-94456
MOV-789,PRD-3114,Sales Outbound,-48,2025-05-25,REF-28673
MOV-790,PRD-3069,Return Inbound,28,2025-04-26,REF-90735
MOV-791,PRD-3067,Sales Outbound,-17,2025-03-07,REF-57196
MOV-792,PRD-3454,Shrinkage Adjustment,-31,2025-08-19,REF-33784
MOV-793,PRD-3234,Shrinkage Adjustment,-17,2025-07-05,REF-68445
MOV-794,PRD-3346,Return Inbound,7,2025-03-26,REF-23978
MOV-795,PRD-3338,Warehouse Transfer,-34,2025-06-26,REF-34471
MOV-796,PRD-3048,PO Inbound,37,2025-09-27,REF-50502
MOV-797,PRD-3222,PO Inbound,30,2025-07-13,REF-34851
MOV-798,PRD-3272,Sales Outbound,-38,2025-07-22,REF-80022
MOV-799,PRD-3251,Warehouse Transfer,-33,2025-06-02,REF-33114
MOV-800,PRD-3416,PO Inbound,98,2025-05-27,REF-70571
MOV-801,PRD-3170,Warehouse Transfer,-50,2025-10-14,REF-42320
MOV-802,PRD-3189,Warehouse Transfer,-39,2025-06-09,REF-68598
MOV-803,PRD-3386,Shrinkage Adjustment,-4,2025-07-16,REF-85527
MOV-804,PRD-3360,Sales Outbound,-44,2025-04-01,REF-78973
MOV-805,PRD-3175,Sales Outbound,-9,2025-01-28,REF-29688
MOV-806,PRD-3499,Return Inbound,40,2025-07-28,REF-20644
MOV-807,PRD-3437,Shrinkage Adjustment,-46,2025-08-31,REF-87601
MOV-808,PRD-3487,Return Inbound,53,2025-08-16,REF-94521
MOV-809,PRD-3232,Warehouse Transfer,-43,2025-02-04,REF-78133
MOV-810,PRD-3390,Warehouse Transfer,-34,2025-08-11,REF-38213
MOV-811,PRD-3368,Shrinkage Adjustment,-48,2025-02-10,REF-39468
MOV-812,PRD-3446,Warehouse Transfer,-21,2025-05-29,REF-93520
MOV-813,PRD-3168,Warehouse Transfer,-9,2025-02-03,REF-25042
MOV-814,PRD-3365,Warehouse Transfer,-22,2025-08-13,REF-32664
MOV-815,PRD-3118,Return Inbound,81,2025-01-27,REF-21453
MOV-816,PRD-3317,Return Inbound,59,2025-04-20,REF-74792
MOV-817,PRD-3250,Warehouse Transfer,-28,2025-03-12,REF-62563
MOV-818,PRD-3346,Sales Outbound,-33,2025-10-26,REF-59685
MOV-819,PRD-3453,Return Inbound,38,2025-10-16,REF-91563
MOV-820,PRD-3450,Shrinkage Adjustment,-44,2025-08-26,REF-84736
MOV-821,PRD-3044,Shrinkage Adjustment,-36,2025-03-20,REF-27713
MOV-822,PRD-3011,PO Inbound,71,2025-03-05,REF-13046
MOV-823,PRD-3404,PO Inbound,13,2025-05-11,REF-33318
MOV-824,PRD-3259,Shrinkage Adjustment,-43,2025-08-02,REF-88138
MOV-825,PRD-3030,Shrinkage Adjustment,-12,2025-06-13,REF-21246
MOV-826,PRD-3165,Shrinkage Adjustment,-21,2025-10-28,REF-54590
MOV-827,PRD-3056,Return Inbound,75,2025-01-22,REF-84063
MOV-828,PRD-3359,Shrinkage Adjustment,-29,2025-02-20,REF-92898
MOV-829,PRD-3358,PO Inbound,85,2025-09-19,REF-11038
MOV-830,PRD-3001,Return Inbound,81,2025-06-30,REF-77481
MOV-831,PRD-3356,Shrinkage Adjustment,-12,2025-05-20,REF-30529
MOV-832,PRD-3338,Sales Outbound,-31,2025-05-31,REF-87216
MOV-833,PRD-3491,Shrinkage Adjustment,-28,2025-06-28,REF-96406
MOV-834,PRD-3066,Warehouse Transfer,-20,2025-09-22,REF-36001
MOV-835,PRD-3437,PO Inbound,45,2025-02-28,REF-69852
MOV-836,PRD-3064,Warehouse Transfer,-30,2025-03-21,REF-53501
MOV-837,PRD-3033,Sales Outbound,-42,2025-04-22,REF-43556
MOV-838,PRD-3106,Sales Outbound,-21,2025-04-29,REF-66625
MOV-839,PRD-3238,Return Inbound,87,2025-08-18,REF-99108
MOV-840,PRD-3248,Shrinkage Adjustment,-29,2025-04-19,REF-42858
MOV-841,PRD-3463,Sales Outbound,-25,2025-06-21,REF-79734
MOV-842,PRD-3438,Shrinkage Adjustment,-21,2025-01-25,REF-37107
MOV-843,PRD-3341,PO Inbound,2,2025-06-03,REF-94810
MOV-844,PRD-3303,Shrinkage Adjustment,-39,2025-02-17,REF-43654
MOV-845,PRD-3001,Shrinkage Adjustment,-31,2025-02-08,REF-92516
MOV-846,PRD-3459,Sales Outbound,-33,2025-01-16,REF-64124
MOV-847,PRD-3044,Warehouse Transfer,-39,2025-01-19,REF-73094
MOV-848,PRD-3432,Return Inbound,51,2025-07-21,REF-64041
MOV-849,PRD-3310,Shrinkage Adjustment,-43,2025-05-20,REF-72202
MOV-850,PRD-3078,PO Inbound,59,2025-03-03,REF-32318
MOV-851,PRD-3149,Sales Outbound,-24,2025-07-19,REF-65469
MOV-852,PRD-3257,Sales Outbound,-48,2025-01-26,REF-38576
MOV-853,PRD-3079,Return Inbound,97,2025-04-11,REF-60706
MOV-854,PRD-3477,Warehouse Transfer,-24,2025-03-15,REF-57501
MOV-855,PRD-3167,Warehouse Transfer,-29,2025-07-14,REF-74175
MOV-856,PRD-3106,Return Inbound,94,2025-01-06,REF-72200
MOV-857,PRD-3497,Warehouse Transfer,-49,2025-02-17,REF-17259
MOV-858,PRD-3339,Shrinkage Adjustment,-12,2025-09-25,REF-39359
MOV-859,PRD-3335,Warehouse Transfer,-20,2025-08-25,REF-60594
MOV-860,PRD-3138,Shrinkage Adjustment,-48,2025-02-06,REF-34040
MOV-861,PRD-3349,Shrinkage Adjustment,-6,2025-05-14,REF-89874
MOV-862,PRD-3358,Warehouse Transfer,-14,2025-07-27,REF-97841
MOV-863,PRD-3478,Sales Outbound,-7,2025-10-21,REF-61755
MOV-864,PRD-3091,Shrinkage Adjustment,-22,2025-07-21,REF-49074
MOV-865,PRD-3131,Sales Outbound,-38,2025-01-20,REF-86423
MOV-866,PRD-3164,PO Inbound,81,2025-06-22,REF-61543
MOV-867,PRD-3456,Shrinkage Adjustment,-14,2025-01-09,REF-18082
MOV-868,PRD-3334,Shrinkage Adjustment,-13,2025-07-19,REF-29017
MOV-869,PRD-3365,PO Inbound,7,2025-07-03,REF-98974
MOV-870,PRD-3040,Shrinkage Adjustment,-17,2025-01-29,REF-68370
MOV-871,PRD-3262,Shrinkage Adjustment,-48,2025-01-29,REF-49381
MOV-872,PRD-3430,Warehouse Transfer,-7,2025-02-16,REF-36801
MOV-873,PRD-3380,Return Inbound,98,2025-04-11,REF-72445
MOV-874,PRD-3384,Sales Outbound,-39,2025-08-01,REF-57826
MOV-875,PRD-3477,Sales Outbound,-31,2025-03-25,REF-88079
MOV-876,PRD-3163,Warehouse Transfer,-48,2025-10-06,REF-61454
MOV-877,PRD-3226,Shrinkage Adjustment,-31,2025-02-01,REF-53861
MOV-878,PRD-3185,Return Inbound,67,2025-10-27,REF-14840
MOV-879,PRD-3243,PO Inbound,24,2025-10-28,REF-89318
MOV-880,PRD-3197,Warehouse Transfer,-49,2025-02-19,REF-52684
MOV-881,PRD-3150,Warehouse Transfer,-12,2025-09-02,REF-11240
MOV-882,PRD-3026,Sales Outbound,-37,2025-05-07,REF-38428
MOV-883,PRD-3398,PO Inbound,28,2025-03-07,REF-61261
MOV-884,PRD-3261,Warehouse Transfer,-13,2025-08-30,REF-44317
MOV-885,PRD-3216,PO Inbound,21,2025-02-02,REF-42730
MOV-886,PRD-3223,Warehouse Transfer,-35,2025-05-28,REF-19927
MOV-887,PRD-3185,Shrinkage Adjustment,-31,2025-02-12,REF-27748
MOV-888,PRD-3380,Warehouse Transfer,-5,2025-09-27,REF-44853
MOV-889,PRD-3089,Return Inbound,9,2025-06-30,REF-64221
MOV-890,PRD-3386,PO Inbound,61,2025-08-12,REF-97350
MOV-891,PRD-3465,Return Inbound,44,2025-10-13,REF-88647
MOV-892,PRD-3081,Sales Outbound,-15,2025-07-08,REF-57386
MOV-893,PRD-3453,Sales Outbound,-45,2025-10-07,REF-52357
MOV-894,PRD-3285,Shrinkage Adjustment,-43,2025-01-14,REF-67301
MOV-895,PRD-3100,PO Inbound,86,2025-03-19,REF-29377
MOV-896,PRD-3281,Sales Outbound,-39,2025-04-25,REF-40872
MOV-897,PRD-3183,Sales Outbound,-35,2025-08-13,REF-79095
MOV-898,PRD-3314,Shrinkage Adjustment,-7,2025-07-11,REF-35413
MOV-899,PRD-3180,Warehouse Transfer,-42,2025-07-29,REF-49363
MOV-900,PRD-3249,Sales Outbound,-27,2025-09-27,REF-97056
MOV-901,PRD-3159,Shrinkage Adjustment,-18,2025-07-31,REF-46304
MOV-902,PRD-3347,Return Inbound,42,2025-01-18,REF-69618
MOV-903,PRD-3351,Sales Outbound,-34,2025-05-06,REF-23462
MOV-904,PRD-3389,PO Inbound,16,2025-10-09,REF-56323
MOV-905,PRD-3372,PO Inbound,68,2025-10-07,REF-16437
MOV-906,PRD-3479,Warehouse Transfer,-31,2025-06-11,REF-62837
MOV-907,PRD-3379,Return Inbound,45,2025-01-14,REF-98820
MOV-908,PRD-3174,Warehouse Transfer,-8,2025-01-07,REF-51950
MOV-909,PRD-3272,PO Inbound,14,2025-01-01,REF-83664
MOV-910,PRD-3464,Warehouse Transfer,-44,2025-08-04,REF-73764
MOV-911,PRD-3305,Shrinkage Adjustment,-17,2025-05-10,REF-75476
MOV-912,PRD-3223,PO Inbound,76,2025-04-19,REF-68528
MOV-913,PRD-3273,Warehouse Transfer,-28,2025-07-12,REF-35409
MOV-914,PRD-3425,Shrinkage Adjustment,-41,2025-06-01,REF-60942
MOV-915,PRD-3391,Return Inbound,32,2025-04-23,REF-40666
MOV-916,PRD-3154,Shrinkage Adjustment,-29,2025-05-22,REF-85245
MOV-917,PRD-3210,Sales Outbound,-13,2025-09-03,REF-85649
MOV-918,PRD-3458,Sales Outbound,-10,2025-08-09,REF-32317
MOV-919,PRD-3258,PO Inbound,79,2025-02-08,REF-55210
MOV-920,PRD-3001,Sales Outbound,-14,2025-09-06,REF-48033
MOV-921,PRD-3106,Warehouse Transfer,-41,2025-09-13,REF-42096
MOV-922,PRD-3148,Return Inbound,7,2025-06-15,REF-31573
MOV-923,PRD-3060,Warehouse Transfer,-19,2025-01-05,REF-51876
MOV-924,PRD-3466,PO Inbound,33,2025-08-31,REF-27113
MOV-925,PRD-3385,Shrinkage Adjustment,-2,2025-09-02,REF-94095
MOV-926,PRD-3289,Shrinkage Adjustment,-11,2025-02-08,REF-45347
MOV-927,PRD-3182,Warehouse Transfer,-32,2025-08-19,REF-40964
MOV-928,PRD-3500,Shrinkage Adjustment,-25,2025-01-09,REF-84991
MOV-929,PRD-3273,Return Inbound,75,2025-02-28,REF-89494
MOV-930,PRD-3286,PO Inbound,57,2025-06-02,REF-73529
MOV-931,PRD-3369,Sales Outbound,-25,2025-08-12,REF-57820
MOV-932,PRD-3105,Warehouse Transfer,-29,2025-09-28,REF-79095
MOV-933,PRD-3180,Warehouse Transfer,-29,2025-06-03,REF-76317
MOV-934,PRD-3383,Warehouse Transfer,-44,2025-06-27,REF-95797
MOV-935,PRD-3447,Return Inbound,58,2025-03-01,REF-42078
MOV-936,PRD-3058,Warehouse Transfer,-35,2025-05-10,REF-44399
MOV-937,PRD-3136,Warehouse Transfer,-25,2025-02-03,REF-67034
MOV-938,PRD-3125,Warehouse Transfer,-21,2025-04-03,REF-54426
MOV-939,PRD-3246,Return Inbound,62,2025-09-02,REF-73356
MOV-940,PRD-3143,Sales Outbound,-29,2025-03-22,REF-20401
MOV-941,PRD-3073,Sales Outbound,-33,2025-05-21,REF-77530
MOV-942,PRD-3234,Shrinkage Adjustment,-24,2025-07-16,REF-19529
MOV-943,PRD-3403,Warehouse Transfer,-6,2025-10-08,REF-83765
MOV-944,PRD-3427,Warehouse Transfer,-31,2025-06-20,REF-58930
MOV-945,PRD-3253,Warehouse Transfer,-43,2025-10-03,REF-38959
MOV-946,PRD-3065,Sales Outbound,-39,2025-01-21,REF-93787
MOV-947,PRD-3399,PO Inbound,8,2025-06-15,REF-87226
MOV-948,PRD-3007,Return Inbound,37,2025-06-29,REF-24851
MOV-949,PRD-3225,Sales Outbound,-25,2025-06-14,REF-82158
MOV-950,PRD-3187,Return Inbound,5,2025-06-15,REF-84353
MOV-951,PRD-3035,Warehouse Transfer,-15,2025-05-22,REF-49703
MOV-952,PRD-3474,Sales Outbound,-19,2025-07-29,REF-26473
MOV-953,PRD-3441,Shrinkage Adjustment,-7,2025-03-10,REF-34699
MOV-954,PRD-3313,Sales Outbound,-16,2025-01-29,REF-63270
MOV-955,PRD-3173,Sales Outbound,-13,2025-07-10,REF-35526
MOV-956,PRD-3449,Return Inbound,79,2025-08-30,REF-51126
MOV-957,PRD-3478,Warehouse Transfer,-43,2025-10-05,REF-12639
MOV-958,PRD-3293,Shrinkage Adjustment,-11,2025-09-15,REF-34366
MOV-959,PRD-3374,PO Inbound,77,2025-07-26,REF-10012
MOV-960,PRD-3269,Shrinkage Adjustment,-36,2025-09-08,REF-92471
MOV-961,PRD-3167,Shrinkage Adjustment,-33,2025-10-10,REF-29175
MOV-962,PRD-3399,Shrinkage Adjustment,-13,2025-08-27,REF-65695
MOV-963,PRD-3127,PO Inbound,76,2025-08-29,REF-69723
MOV-964,PRD-3113,Warehouse Transfer,-42,2025-09-21,REF-42408
MOV-965,PRD-3445,Shrinkage Adjustment,-25,2025-07-30,REF-13568
MOV-966,PRD-3292,Shrinkage Adjustment,-43,2025-10-19,REF-75351
MOV-967,PRD-3258,Return Inbound,43,2025-01-06,REF-17241
MOV-968,PRD-3352,Return Inbound,36,2025-07-06,REF-96738
MOV-969,PRD-3024,Shrinkage Adjustment,-46,2025-03-13,REF-88722
MOV-970,PRD-3205,Sales Outbound,-40,2025-01-14,REF-99950
MOV-971,PRD-3042,PO Inbound,57,2025-04-29,REF-33850
MOV-972,PRD-3354,Sales Outbound,-26,2025-07-02,REF-29361
MOV-973,PRD-3230,Warehouse Transfer,-11,2025-06-26,REF-47964
MOV-974,PRD-3198,Sales Outbound,-2,2025-06-20,REF-91415
MOV-975,PRD-3156,PO Inbound,95,2025-06-29,REF-65752
MOV-976,PRD-3256,PO Inbound,9,2025-08-23,REF-67943
MOV-977,PRD-3164,Sales Outbound,-38,2025-10-10,REF-67973
MOV-978,PRD-3085,Return Inbound,82,2025-06-11,REF-82563
MOV-979,PRD-3047,Warehouse Transfer,-36,2025-08-24,REF-97896
MOV-980,PRD-3018,Warehouse Transfer,-43,2025-09-14,REF-49866
MOV-981,PRD-3004,Shrinkage Adjustment,-22,2025-06-11,REF-36277
MOV-982,PRD-3354,Warehouse Transfer,-1,2025-07-06,REF-35663
MOV-983,PRD-3380,Shrinkage Adjustment,-22,2025-09-02,REF-28603
MOV-984,PRD-3224,Warehouse Transfer,-14,2025-07-09,REF-14356
MOV-985,PRD-3394,Shrinkage Adjustment,-48,2025-01-13,REF-55770
MOV-986,PRD-3043,Sales Outbound,-3,2025-07-29,REF-89430
MOV-987,PRD-3213,Shrinkage Adjustment,-12,2025-02-03,REF-26841
MOV-988,PRD-3274,PO Inbound,41,2025-07-18,REF-81763
MOV-989,PRD-3125,Warehouse Transfer,-29,2025-01-15,REF-34007
MOV-990,PRD-3248,Warehouse Transfer,-22,2025-04-25,REF-68955
MOV-991,PRD-3292,Warehouse Transfer,-50,2025-03-21,REF-24632
MOV-992,PRD-3148,Warehouse Transfer,-11,2025-06-08,REF-21071
MOV-993,PRD-3115,Shrinkage Adjustment,-7,2025-09-03,REF-41632
MOV-994,PRD-3002,Shrinkage Adjustment,-45,2025-04-09,REF-84233
MOV-995,PRD-3019,Warehouse Transfer,-24,2025-09-29,REF-38278
MOV-996,PRD-3018,Shrinkage Adjustment,-36,2025-05-14,REF-99583
MOV-997,PRD-3472,Warehouse Transfer,-14,2025-08-06,REF-77618
MOV-998,PRD-3476,PO Inbound,55,2025-08-15,REF-31218
MOV-999,PRD-3102,Warehouse Transfer,-26,2025-08-06,REF-54036
MOV-1000,PRD-3342,Shrinkage Adjustment,-3,2025-07-24,REF-72233
MOV-1001,PRD-3247,Return Inbound,45,2025-10-16,REF-56625
MOV-1002,PRD-3230,Sales Outbound,-48,2025-06-17,REF-48090
MOV-1003,PRD-3052,PO Inbound,41,2025-08-15,REF-73096
MOV-1004,PRD-3461,Sales Outbound,-23,2025-01-07,REF-48491
MOV-1005,PRD-3021,Sales Outbound,-22,2025-09-30,REF-95326
MOV-1006,PRD-3315,Warehouse Transfer,-36,2025-02-03,REF-13380
MOV-1007,PRD-3322,Warehouse Transfer,-21,2025-06-16,REF-79284
MOV-1008,PRD-3230,Sales Outbound,-14,2025-06-25,REF-73495
MOV-1009,PRD-3258,Return Inbound,97,2025-07-04,REF-71948
MOV-1010,PRD-3323,Sales Outbound,-3,2025-09-27,REF-12789
MOV-1011,PRD-3079,Return Inbound,15,2025-01-09,REF-47520
MOV-1012,PRD-3044,Return Inbound,8,2025-08-28,REF-49711
MOV-1013,PRD-3297,Sales Outbound,-8,2025-07-27,REF-59673
MOV-1014,PRD-3008,Warehouse Transfer,-43,2025-03-02,REF-66114
MOV-1015,PRD-3393,PO Inbound,12,2025-06-25,REF-93258
MOV-1016,PRD-3188,Shrinkage Adjustment,-28,2025-02-15,REF-40272
MOV-1017,PRD-3332,Return Inbound,3,2025-05-22,REF-67730
MOV-1018,PRD-3340,Return Inbound,6,2025-01-22,REF-15430
MOV-1019,PRD-3447,Return Inbound,43,2025-10-10,REF-49435
MOV-1020,PRD-3018,Warehouse Transfer,-38,2025-03-12,REF-27055
MOV-1021,PRD-3321,Shrinkage Adjustment,-2,2025-07-27,REF-84800
MOV-1022,PRD-3319,PO Inbound,84,2025-07-16,REF-50654
MOV-1023,PRD-3311,Return Inbound,80,2025-05-04,REF-53520
MOV-1024,PRD-3224,Return Inbound,95,2025-09-17,REF-15337
MOV-1025,PRD-3472,Sales Outbound,-42,2025-07-21,REF-37677
MOV-1026,PRD-3288,Sales Outbound,-26,2025-05-30,REF-73863
MOV-1027,PRD-3072,Sales Outbound,-20,2025-07-05,REF-52625
MOV-1028,PRD-3395,Warehouse Transfer,-48,2025-02-19,REF-73506
MOV-1029,PRD-3020,Warehouse Transfer,-47,2025-04-24,REF-40895
MOV-1030,PRD-3179,PO Inbound,98,2025-06-01,REF-94256
MOV-1031,PRD-3342,Sales Outbound,-17,2025-05-20,REF-94790
MOV-1032,PRD-3326,Warehouse Transfer,-41,2025-07-28,REF-62609
MOV-1033,PRD-3360,Sales Outbound,-43,2025-01-19,REF-15325
MOV-1034,PRD-3374,PO Inbound,34,2025-07-02,REF-37750
MOV-1035,PRD-3303,Warehouse Transfer,-2,2025-05-20,REF-82107
MOV-1036,PRD-3445,Warehouse Transfer,-48,2025-08-02,REF-74987
MOV-1037,PRD-3324,Sales Outbound,-21,2025-02-23,REF-49530
MOV-1038,PRD-3006,Warehouse Transfer,-25,2025-02-26,REF-67347
MOV-1039,PRD-3027,Warehouse Transfer,-38,2025-09-15,REF-68696
MOV-1040,PRD-3108,PO Inbound,64,2025-01-08,REF-87330
MOV-1041,PRD-3257,PO Inbound,51,2025-07-28,REF-79901
